camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,hue_circular_mean,hue_circular_std,hue_median
none,none,none,none,none,none,none,17dpi,#3,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#3_17dpi.JPG,True,1414421.0,2153931.0,0.6566695961941214,13669.640949606895,1580,1621,13177,32,True,1566.0755615234375,1326.9437255859375,121.1504898071289,0.5311065421759869,77.31808556577424,80.0,80.0
none,none,none,none,none,none,none,05dpi,#7,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#7_05dpi.JPG,True,869226.0,1660942.0,0.5233331446853653,11000.943341732025,1557,1466,11431,35,True,1393.484375,1173.6317138671875,124.23301696777344,0.5391213294139185,99.66513995073885,100.0,100.0
none,none,none,none,none,none,none,11dpi,#1,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#1_11dpi.JPG,True,1617746.0,2640585.5,0.6126467027861813,13264.437851190567,1716,1858,13574,53,True,1688.7142333984375,1600.8741455078125,9.778239250183105,0.3183178525840667,90.8507737767112,92.0,92.0
none,none,none,none,none,none,none,01dpi,#8,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#8_01dpi.JPG,True,645784.0,1306663.0,0.49422383583219237,10850.887431025505,1455,1370,9448,44,True,1166.822021484375,1162.9832763671875,87.28246307373047,0.08104940590058826,103.74070831046546,104.0,104.0
none,none,none,none,none,none,none,03dpi,#4,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#4_03dpi.JPG,True,859329.0,1321898.0,0.6500720933082583,10087.628421902657,1337,1361,9944,49,True,1162.6348876953125,1108.708740234375,15.259134292602539,0.3010216750345638,103.54782078987384,102.0,102.0
none,none,none,none,none,none,none,13dpi,#9,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#9_13dpi.JPG,True,1921153.0,2915299.0,0.6589900384145846,17092.335593104362,1845,1970,14880,33,True,1733.5596923828125,1619.7100830078125,128.7218475341797,0.35641930512514153,110.52741203277907,110.0,110.0
none,none,none,none,none,none,none,17dpi,#6,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#6_17dpi.JPG,True,2045859.0,2681205.5,0.7630369995884314,11778.67214000225,1876,1995,14355,39,True,1806.2313232421875,1590.65966796875,25.883319854736328,0.4737653168151222,101.00884824279757,102.0,102.0
none,none,none,none,none,none,none,05dpi,#2,Col-0,wt,none,none,none,./ath_tcv_images/tcv/Col-0_wt_#2_05dpi.JPG,True,924069.0,1503075.0,0.6147856893368594,10967.078336834908,1384,1408,9449,38,True,1218.0968017578125,1159.9910888671875,178.8658447265625,0.30516980821057577,100.80119314044748,102.0,102.0
none,none,none,none,none,none,none,15dpi,#8,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#8_15dpi.JPG,True,1853491.0,2625729.5,0.7058956377646669,15079.131283164024,1907,1901,13973,44,True,1802.290283203125,1512.6651611328125,57.29914474487305,0.5436660596331915,106.10751968648819,106.0,106.0
none,none,none,none,none,none,none,09dpi,#8,Col-0,M,none,none,none,./ath_tcv_images/mock/Col-0_M_#8_09dpi.JPG,True,1232554.0,2089657.0,0.5898355567444801,12406.651930689812,1593,1750,12510,45,True,1535.390869140625,1373.862060546875,41.734703063964844,0.44647462534858945,105.8826913578093,106.0,106.0
